timestamp,sens1_Temp,sens1_RH,sens1_WBT,sens2_Temp,sens2_RH,sens3_Temp,sens3_RH
2025-11-11T16:24:26.376000Z,22.2,42.4,21.6,14.5,20.2,38.8,21,
2025-11-11T16:26:20.164000Z,22.3,42.6,21.7,14.6,20.3,38.9,21.2,
2025-11-11T16:26:40.339000Z,22.3,42.6,21.7,14.6,20.2,38.9,20.8,
2025-11-11T16:27:00.169000Z,22.2,42.7,21.6,14.5,20.2,38.8,20.8,
2025-11-11T16:27:20.286000Z,22.2,42.9,21.5,14.5,20.2,39.1,20.8,
2025-11-11T16:28:00.180000Z,22.1,43,21.5,14.5,20.1,38.9,20.5,
2025-11-11T16:28:20.230000Z,22,43,21.4,14.4,20.1,38.9,20.6,
2025-11-11T16:29:00.207000Z,22,43.1,21.3,14.4,20,39.1,20.7,
2025-11-11T16:29:20.323000Z,21.9,43.2,21.3,14.3,19.9,39.3,20.6,
2025-11-11T16:29:40.319000Z,21.9,43.2,21.3,14.3,20,39.4,20.7,
2025-11-11T16:30:00.222000Z,21.9,43.2,21.2,14.3,20,39.6,20.7,
2025-11-11T16:30:40.229000Z,21.8,43.3,21.2,14.3,19.9,39.4,20.7,
2025-11-11T16:31:00.233000Z,21.8,43.4,21.1,14.3,19.9,39.4,20.7,
2025-11-11T16:31:20.241000Z,21.7,43.4,21.1,14.2,19.9,39.5,20.7,
2025-11-11T16:31:40.243000Z,21.7,43.5,21.1,14.2,19.8,39.6,20.3,
2025-11-11T16:32:00.252000Z,21.7,43.5,21,14.2,19.7,39.7,20.8,
2025-11-11T16:32:20.325000Z,21.7,43.6,21,14.2,19.8,39.9,20.8,
2025-11-11T16:32:40.309000Z,21.6,43.3,21,14.1,19.7,39.5,20.3,
2025-11-11T16:33:00.252000Z,21.6,43.6,21,14.2,19.7,39.8,20.3,
2025-11-11T16:33:20.260000Z,21.6,43.6,21,14.2,19.7,39.6,20.3,
2025-11-11T16:33:40.383000Z,21.6,43.6,20.9,14.2,19.6,39.8,20.4,
2025-11-11T16:34:00.285000Z,21.6,43.7,20.9,14.2,19.6,40.2,20.4,
2025-11-11T16:34:20.289000Z,21.5,43.8,20.9,14.1,19.6,40,20.4,
2025-11-11T16:34:40.280000Z,21.5,43.8,20.9,14.1,19.6,40.3,20.4,
2025-11-11T16:35:00.385000Z,21.5,43.9,20.8,14.1,19.5,40.3,20.4,
2025-11-11T16:35:20.293000Z,21.5,43.9,20.8,14.1,19.5,40.2,20.4,
2025-11-11T16:35:40.360000Z,21.4,43.9,20.8,14,19.5,40,20.4,
2025-11-11T16:36:20.318000Z,21.4,43.9,20.8,14,19.5,40.3,20.4,
2025-11-11T16:36:40.337000Z,21.4,43.9,20.8,14,19.5,39.8,20.4,
2025-11-11T16:37:20.407000Z,21.4,43.9,20.7,14,19.5,40,20.4,
2025-11-11T16:37:40.388000Z,21.4,44,20.7,14,19.5,40.1,20.4,
2025-11-11T16:38:00.325000Z,21.4,44,20.7,14,19.5,40.2,20.4,
2025-11-11T16:38:20.459000Z,21.4,44,20.7,14,19.4,40.2,20.4,
2025-11-11T16:38:40.421000Z,21.4,44,20.7,14,19.5,40.4,20.4,
2025-11-11T16:39:00.359000Z,21.3,43.9,20.7,14,19.5,40,20.4,
2025-11-11T16:39:20.359000Z,21.3,43.9,20.7,14,19.5,40.1,20.4,
2025-11-11T16:39:40.373000Z,21.3,44,20.7,14,19.5,39.9,20.8,
2025-11-11T16:40:00.538000Z,21.3,43.9,20.7,14,19.5,39.8,20.3,
2025-11-11T16:40:20.427000Z,21.3,44,20.7,14,19.5,39.8,20.3,
2025-11-11T16:40:40.378000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:41:00.490000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:41:20.374000Z,21.3,43.9,20.6,14,19.4,40,20.3,
2025-11-11T16:41:40.416000Z,21.3,44,20.6,14,19.4,40,20.3,
2025-11-11T16:42:00.384000Z,21.3,44,20.6,14,19.4,40.2,20.3,
2025-11-11T16:42:20.516000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:42:40.393000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:43:00.566000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:43:20.425000Z,21.3,44,20.6,14,19.4,39.9,20.3,
2025-11-11T16:43:40.423000Z,21.3,44,20.6,14,19.4,39.8,20.3,
2025-11-11T16:44:00.470000Z,21.3,44,20.6,14,19.4,40.2,20.3,
2025-11-11T16:44:20.667000Z,21.3,43.9,20.6,14,19.4,39.8,20.3,
2025-11-11T16:44:40.433000Z,21.3,44,20.6,14,19.4,40,20.3,
2025-11-11T16:45:00.451000Z,21.3,44,20.6,14,19.4,39.9,20.3,
2025-11-11T16:45:20.572000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:45:40.607000Z,21.3,44,20.6,14,19.4,40.1,20.3,
2025-11-11T16:46:00.463000Z,21.3,44,20.6,14,19.4,39.9,20.3,
2025-11-11T16:46:20.460000Z,21.3,44,20.6,14,19.4,40,20.3,
2025-11-11T16:46:40.485000Z,21.3,44,20.6,14,19.4,40.2,20.3,
